,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
MLI,3.142353329931346,0.09658615725727401,17.4,0.013321192451771576,4.454389453305818e-07,-0.010808310811975034,46.45892351274787
URI,3.310685195742498,0.15871068365513769,10.15,,1.4773351241302324e-07,-0.1960365669598743,46.742209631728045
KFY,1.956162531612712,0.15046291266783018,13.41,0.009538778348283324,0.0,-0.049705104104860016,47.02549575070821
OC,1.6409609454512082,0.12236925900802359,14.03,0.014261974518786448,2.050938141325549e-07,-0.18200512095394492,47.30878186968839
AGCO,1.831280984130677,0.122794908047057,17.04,0.009356417398539249,5.133191882959392e-07,0.006768069268231422,47.59206798866856
HON,7.027143008640315,0.06889862605813155,20.99,0.0191340210777767,1.1814410741807951e-07,0.07157211253916342,47.875354107648725
ATSG,2.988306215133673,0.10953033491126621,13.17,,2.1976416804457925e-07,-0.4466611204778122,48.1586402266289
ROCK,3.061461785964216,0.07300579184633861,28.45,,8.153099369835899e-07,-0.005901360877698374,48.44192634560906
IIIN,1.8480816816923538,0.04381163802520375,232.2,0.00520106913505412,8.033126118284763e-07,0.8518529186034761,48.725212464589234
KFRC,5.27555220357831,0.09632238611170112,18.05,0.01916272130983374,1.5574668604231022e-06,0.15872327549609186,49.008498583569406
DCO,1.9697657055370947,0.09130706156227524,20.18,,3.418071314992542e-06,-0.11540260310111064,49.29178470254957
SPXC,5.47913305734541,0.056295580486497056,28.85,,1.1656658053567394e-06,0.044221333036638916,49.57507082152974
WBC,6.054933076781055,0.09173872530867168,21.74,,8.050941267818059e-07,0.2347455063216994,49.858356940509914
FLS,3.764286490811469,0.06018668557022365,25.33,0.01640885884395407,4.970423927214908e-07,0.05532749611879217,50.14164305949008
NVT,1.639437628413881,0.08939901642540737,18.03,0.028990790676385093,2.5605143343143197e-07,-0.5155390520478152,50.42492917847026
UPS,27.179269281049223,0.07951637423290331,20.9,0.03354427370544477,7.568133363903268e-08,-0.07569455396350158,50.70821529745042
MINI,2.219139885446453,0.07895253586102641,26.69,0.027328565926883427,7.71391859082518e-07,0.03540504778479799,50.991501416430594
CSX,5.092058455849132,0.08311971937667625,,0.013034401681643439,6.796455106995371e-08,-0.05792378961092257,51.27478753541076
INFO,3.8303733101124897,0.04256488644877266,63.43,,3.5397981634299495e-07,0.027342853706659308,51.55807365439094
HSII,2.187149431907412,0.27459931440435603,12.04,0.02027545731251957,3.517754925631473e-07,-0.14994365050005337,51.84135977337111
SNA,2.9889077880572055,0.10604118841630956,13.02,0.02401623723212992,1.2553012400848637e-06,0.048654995711993894,52.124645892351275
AIMC,1.2200499309885018,0.03988415008537338,26.6,0.02031253090204267,3.9402483482571624e-07,-0.7867116539987784,52.40793201133145
EME,2.85823703165128,0.10530639408439602,15.48,0.003918531964385581,3.7957680693767577e-07,0.012494348394539976,52.69121813031161
MG,1.3408882509048334,0.09540815625640155,89.58,,6.282543499817716e-07,-0.34560115117748486,52.97450424929179
SAVE,1.4808711077369883,0.1598603793071339,8.49,,2.753782482927739e-06,-0.30326908329015373,53.25779036827195
HEES,4.01401668866953,0.18902568136598544,11.67,0.04015636291029961,3.768110680278704e-07,-0.12636886511060233,53.54107648725213
CMCO,2.074564487464773,0.11548835427095586,16.14,0.006123979421489689,9.23787037905369e-07,0.15448787524045263,53.82436260623229
SNDR,1.040610034846162,0.17002482224068918,23.1,0.01115728292457384,1.341298158975518e-07,-0.08082966951941714,54.107648725212464
EMR,5.579337981140167,0.0804781465573666,20.28,0.02706143622057209,6.126982121513037e-08,-0.06953848819737694,54.39093484419264
ITW,17.209591377731904,0.06537369290610612,23.79,0.02418819215530311,1.9162398538955598e-07,0.05801812474351284,54.6742209631728
NVEE,2.4968118452169534,0.06673382850681633,26.72,,1.483914415564911e-05,0.00876630955378261,54.95750708215298
TILE,2.7704247486654285,0.09456168987403676,14.43,0.01606859833805913,2.3662794737623214e-07,-0.5085277003089332,55.240793201133144
KTOS,4.026042201139912,0.02386746467573875,140.03,,1.3225161177750883e-06,0.12289356335602099,55.524079320113316
MRCY,3.2702031843569923,0.03251598387709541,67.24,,3.080695163537348e-06,0.8533388202844852,55.80736543909348
KEX,1.573568835374916,0.07970181263149864,43.9,,4.2306558466451335e-07,-0.2574834410291783,56.09065155807366
EBF,1.9961257901509253,0.1307867726992325,14.82,0.0427318942068471,1.2345006729881843e-06,-0.08932756441227631,56.37393767705382
GFN,1.9322231997071802,0.1435580097463935,114.09,,8.192462032740454e-07,0.003055903472489429,56.657223796033996
GD,4.604293416668269,0.07795913662742178,15.9,0.022872967581258355,1.6914429871230978e-07,-0.30765280931435646,56.94050991501416
ASGN,3.1033682858369875,0.08061609637192785,20.97,,6.899798789917913e-07,-0.45621228525964896,57.22379603399433
NSP,47.012987940081196,0.06189691356552792,24.79,0.012457874193976187,-3.4759526552529708e-06,-0.0954511921880475,57.50708215297451
IR,4.523040266053696,0.06873801228865935,23.57,0.016514764785089408,1.9725913586626056e-07,-0.00440910977246729,57.79036827195468
